Date,Open,High,Low,Close,Adj Close,Volume
2019-03-19,1.340000,1.400000,1.340000,1.390000,1.390000,166597
2019-03-20,1.370000,1.410000,1.340000,1.363590,1.363590,132396
2019-03-21,1.345000,1.515200,1.345000,1.460000,1.460000,212533
2019-03-22,1.460000,1.466590,1.345100,1.388600,1.388600,227156
2019-03-25,1.460000,1.460000,1.293000,1.422100,1.422100,130244
2019-03-26,1.430000,1.483500,1.428000,1.483500,1.483500,144871
2019-03-27,1.457200,1.550000,1.457200,1.530000,1.530000,246256
2019-03-28,1.550000,1.650000,1.500000,1.620000,1.620000,306833
2019-03-29,1.590000,1.650000,1.530000,1.589400,1.589400,126147
2019-04-01,1.630000,1.834400,1.610000,1.798000,1.798000,507872
2019-04-02,1.790000,1.790000,1.690000,1.742300,1.742300,240651
2019-04-03,1.790000,2.068610,1.790000,2.060000,2.060000,656722
2019-04-04,2.068000,2.290000,2.055000,2.205560,2.205560,978429
2019-04-05,2.300000,2.300000,2.118400,2.198400,2.198400,632703
2019-04-08,2.230000,2.470000,2.144080,2.446130,2.446130,856138
2019-04-09,2.470000,2.500600,2.157600,2.160000,2.160000,606676
2019-04-10,2.217020,2.334610,2.150000,2.301300,2.301300,284195
